package_name,node_count,edge_count,network_conn_count,file_read_count,execve_count,total_severity,suspicious_network_count,sensitive_file_count,max_severity,temporal_pattern_count,is_malicious
clean_pkg_1,3,2,0,5,1,1.0,0,0,1.0,0,0
clean_pkg_2,4,3,0,12,1,2.0,0,0,2.0,0,0
clean_pkg_3,2,1,0,8,1,0.0,0,0,0.0,0,0
clean_pkg_4,5,4,1,18,2,3.5,0,0,2.0,0,0
clean_pkg_5,3,2,0,4,1,1.0,0,0,1.0,0,0
clean_pkg_6,4,3,0,15,1,2.0,0,0,2.0,0,0
clean_pkg_7,2,1,0,6,1,0.0,0,0,0.0,0,0
clean_pkg_8,5,4,1,22,2,4.0,0,0,2.0,0,0
clean_pkg_9,3,2,0,5,1,1.0,0,0,1.0,0,0
clean_pkg_10,4,3,0,11,1,2.0,0,0,2.0,0,0
clean_pkg_11,2,1,0,7,1,0.0,0,0,0.0,0,0
clean_pkg_12,5,4,1,19,2,3.0,0,0,2.0,0,0
clean_pkg_13,3,2,0,6,1,1.0,0,0,1.0,0,0
clean_pkg_14,4,3,0,14,1,2.0,0,0,2.0,0,0
clean_pkg_15,2,1,0,5,1,0.0,0,0,0.0,0,0
mal_pkg_1,15,14,3,95,4,22.0,1,2,8.0,1,1
mal_pkg_2,25,28,6,180,6,45.0,2,4,10.0,2,1
mal_pkg_3,12,11,2,65,3,15.5,1,1,5.0,1,1
mal_pkg_4,30,35,8,220,8,60.0,3,5,10.0,3,1
mal_pkg_5,18,19,4,110,5,28.0,2,2,8.0,1,1
mal_pkg_6,14,13,3,80,4,20.0,1,2,8.0,1,1
mal_pkg_7,22,24,5,150,6,38.0,2,3,10.0,2,1
mal_pkg_8,11,10,2,60,3,14.0,1,1,5.0,1,1
mal_pkg_9,28,32,7,200,8,55.0,3,4,10.0,3,1
mal_pkg_10,17,18,4,100,5,25.0,2,2,8.0,1,1
mal_pkg_11,13,12,3,75,4,19.0,1,2,8.0,1,1
mal_pkg_12,24,26,5,160,6,40.0,2,3,10.0,2,1
mal_pkg_13,10,9,2,55,3,13.0,1,1,5.0,1,1
mal_pkg_14,29,34,8,210,8,58.0,3,5,10.0,3,1
mal_pkg_15,16,17,4,90,5,24.0,2,2,8.0,1,1
